,Data,Open,High,Low,Close,Volume,Ajustado,Retornos,Retornos Ajustados
0,2001-01-02,15242,15621,15174,15425,0,15425,183,183
1,2001-01-03,15425,16599,15251,16599,0,16599,1174,1174
2,2001-01-04,16597,16933,16587,16675,0,16675,78,78
3,2001-01-05,16679,16888,16380,16410,0,16410,-269,-269
4,2001-01-08,16398,16623,16226,16562,0,16562,164,164
5,2001-01-09,16566,17096,16566,16976,0,16976,410,410
6,2001-01-10,16964,17093,16701,16919,0,16919,-45,-45
7,2001-01-11,16908,17045,16797,17024,0,17024,116,116
8,2001-01-12,17034,17212,16821,16850,0,16850,-184,-184
9,2001-01-15,16858,17038,16858,16963,0,16963,105,105
10,2001-01-16,16973,17035,16662,16721,0,16721,-252,-252
11,2001-01-17,16748,17255,16745,17191,0,17191,443,443
12,2001-01-18,17204,17642,17151,17521,0,17521,317,317
13,2001-01-19,17525,17816,17512,17530,0,17530,5,5
14,2001-01-22,17548,17578,17297,17392,0,17392,-156,-156
15,2001-01-23,17381,17864,17376,17832,0,17832,451,451
16,2001-01-24,17849,18022,17698,17772,0,17772,-77,-77
17,2001-01-26,17776,17933,17591,17889,0,17889,113,113
18,2001-01-29,17906,18023,17704,17883,0,17883,-23,-23
19,2001-01-30,17882,17898,17668,17723,0,17723,-159,-159
20,2001-01-31,17725,17921,17637,17673,0,17673,-52,-52
21,2001-02-01,17670,17673,16977,17039,0,17039,-631,-631
22,2001-02-02,17027,17206,16781,16915,0,16915,-112,-112
23,2001-02-05,16914,16941,16539,16731,0,16731,-183,-183
24,2001-02-06,16734,17017,16734,17007,0,17007,273,273
25,2001-02-07,17003,17003,16630,16812,0,16812,-191,-191
26,2001-02-08,16814,17279,16814,17243,0,17243,429,429
27,2001-02-09,17257,17270,17050,17138,0,17138,-119,-119
28,2001-02-12,17163,17234,16883,16917,0,16917,-246,-246
29,2001-02-13,16922,17174,16883,17096,0,17096,174,174
30,2001-02-14,17078,17286,16890,17120,0,17120,42,42
31,2001-02-15,17121,17262,16922,16937,0,16937,-184,-184
32,2001-02-16,16934,16950,16100,16259,0,16259,-675,-675
33,2001-02-19,16263,16392,16023,16061,0,16061,-202,-202
34,2001-02-20,16066,16242,15783,15911,0,15911,-155,-155
35,2001-02-21,15909,15909,15568,15594,0,15594,-315,-315
36,2001-02-22,15604,15914,15558,15910,0,15910,306,306
37,2001-02-23,15920,16223,15831,16158,0,16158,238,238
38,2001-02-28,16158,16274,15891,15891,0,15891,-267,-267
39,2001-03-01,15891,16439,15875,16417,0,16417,526,526
40,2001-03-02,16423,16723,16233,16581,0,16581,158,158
41,2001-03-05,16620,16737,16471,16537,0,16537,-83,-83
42,2001-03-06,16573,16813,16279,16324,0,16324,-249,-249
43,2001-03-07,16329,16430,16223,16395,0,16395,66,66
44,2001-03-08,16401,16531,16096,16227,0,16227,-174,-174
45,2001-03-09,16233,16248,16018,16123,0,16123,-110,-110
46,2001-03-12,16125,16143,15523,15527,0,15527,-598,-598
47,2001-03-13,15536,15768,15444,15584,0,15584,48,48
48,2001-03-14,15583,15583,15070,15245,0,15245,-338,-338
49,2001-03-15,15252,15482,14977,15061,0,15061,-191,-191
50,2001-03-16,15076,15356,15047,15237,0,15237,161,161
51,2001-03-19,15249,15378,14802,14836,0,14836,-413,-413
52,2001-03-20,14854,16429,14854,14903,0,14903,49,49
53,2001-03-21,14914,15198,14755,14853,0,14853,-61,-61
54,2001-03-22,14847,14847,13761,14067,0,14067,-780,-780
55,2001-03-23,14070,14435,13855,14435,0,14435,365,365
56,2001-03-26,14443,14912,14443,14712,0,14712,269,269
57,2001-03-27,14733,14951,14594,14835,0,14835,102,102
58,2001-03-28,14846,14852,14574,14632,0,14632,-214,-214
59,2001-03-29,14647,14713,14226,14282,0,14282,-365,-365
60,2001-03-30,14292,14438,13922,14438,0,14438,146,146
61,2001-04-02,14441,14482,13981,13981,0,13981,-460,-460
62,2001-04-03,13988,14001,13664,13737,0,13737,-251,-251
63,2001-04-04,13740,14135,13740,13855,0,13855,115,115
64,2001-04-05,13865,14482,13865,14443,0,14443,578,578
65,2001-04-06,14428,14702,14371,14485,0,14485,57,57
66,2001-04-09,14489,14719,14446,14719,0,14719,230,230
67,2001-04-10,14725,15097,14725,15048,0,15048,323,323
68,2001-04-11,15057,15267,14724,14819,0,14819,-238,-238
69,2001-04-12,14811,14969,14490,14969,0,14969,158,158
70,2001-04-16,14974,14976,14385,14445,0,14445,-529,-529
71,2001-04-17,14443,14555,14223,14337,0,14337,-106,-106
72,2001-04-18,14345,15151,14323,14955,0,14955,610,610
73,2001-04-19,14956,15017,14420,14431,0,14431,-525,-525
74,2001-04-20,14408,14408,13618,13696,0,13696,-712,-712
75,2001-04-23,13734,13893,13325,13893,0,13893,159,159
76,2001-04-24,13894,14207,13894,14068,0,14068,174,174
77,2001-04-25,14062,14223,13785,14163,0,14163,101,101
78,2001-04-26,14204,14770,14202,14757,0,14757,553,553
79,2001-04-27,14752,15135,14752,14928,0,14928,176,176
80,2001-04-30,14944,15210,14838,14918,0,14918,-26,-26
81,2001-05-02,14877,14920,14636,14897,0,14897,20,20
82,2001-05-03,14906,15142,14762,15142,0,15142,236,236
83,2001-05-04,15142,15304,15041,15093,0,15093,-49,-49
84,2001-05-07,15103,15222,14862,14875,0,14875,-228,-228
