Data,Open,High,Low,Close,Volume,Ajustado
1/2/2001,15242,15621,15174,15425,0,15425
1/3/2001,15425,16599,15251,16599,0,16599
1/4/2001,16597,16933,16587,16675,0,16675
1/5/2001,16679,16888,16380,16410,0,16410
1/8/2001,16398,16623,16226,16562,0,16562
1/9/2001,16566,17096,16566,16976,0,16976
1/10/2001,16964,17093,16701,16919,0,16919
1/11/2001,16908,17045,16797,17024,0,17024
1/12/2001,17034,17212,16821,16850,0,16850
1/15/2001,16858,17038,16858,16963,0,16963
1/16/2001,16973,17035,16662,16721,0,16721
1/17/2001,16748,17255,16745,17191,0,17191
1/18/2001,17204,17642,17151,17521,0,17521
1/19/2001,17525,17816,17512,17530,0,17530
1/22/2001,17548,17578,17297,17392,0,17392
1/23/2001,17381,17864,17376,17832,0,17832
1/24/2001,17849,18022,17698,17772,0,17772
1/26/2001,17776,17933,17591,17889,0,17889
1/29/2001,17906,18023,17704,17883,0,17883
1/30/2001,17882,17898,17668,17723,0,17723
1/31/2001,17725,17921,17637,17673,0,17673
2/1/2001,17670,17673,16977,17039,0,17039
2/2/2001,17027,17206,16781,16915,0,16915
2/5/2001,16914,16941,16539,16731,0,16731
2/6/2001,16734,17017,16734,17007,0,17007
2/7/2001,17003,17003,16630,16812,0,16812
2/8/2001,16814,17279,16814,17243,0,17243
2/9/2001,17257,17270,17050,17138,0,17138
2/12/2001,17163,17234,16883,16917,0,16917
2/13/2001,16922,17174,16883,17096,0,17096
2/14/2001,17078,17286,16890,17120,0,17120
2/15/2001,17121,17262,16922,16937,0,16937
2/16/2001,16934,16950,16100,16259,0,16259
2/19/2001,16263,16392,16023,16061,0,16061
2/20/2001,16066,16242,15783,15911,0,15911
2/21/2001,15909,15909,15568,15594,0,15594
2/22/2001,15604,15914,15558,15910,0,15910
2/23/2001,15920,16223,15831,16158,0,16158
2/28/2001,16158,16274,15891,15891,0,15891
3/1/2001,15891,16439,15875,16417,0,16417
3/2/2001,16423,16723,16233,16581,0,16581
3/5/2001,16620,16737,16471,16537,0,16537
3/6/2001,16573,16813,16279,16324,0,16324
3/7/2001,16329,16430,16223,16395,0,16395
3/8/2001,16401,16531,16096,16227,0,16227
3/9/2001,16233,16248,16018,16123,0,16123
3/12/2001,16125,16143,15523,15527,0,15527
3/13/2001,15536,15768,15444,15584,0,15584
3/14/2001,15583,15583,15070,15245,0,15245
3/15/2001,15252,15482,14977,15061,0,15061
3/16/2001,15076,15356,15047,15237,0,15237
3/19/2001,15249,15378,14802,14836,0,14836
3/20/2001,14854,16429,14854,14903,0,14903
3/21/2001,14914,15198,14755,14853,0,14853
3/22/2001,14847,14847,13761,14067,0,14067
3/23/2001,14070,14435,13855,14435,0,14435
3/26/2001,14443,14912,14443,14712,0,14712
3/27/2001,14733,14951,14594,14835,0,14835
3/28/2001,14846,14852,14574,14632,0,14632
3/29/2001,14647,14713,14226,14282,0,14282
3/30/2001,14292,14438,13922,14438,0,14438
4/2/2001,14441,14482,13981,13981,0,13981
